year,country,global_avg_temperature,temperature_anomaly,max_temperature,min_temperature,co2_concentration_ppm,annual_rainfall_mm,sea_level_rise_mm,sea_surface_temperature,heatwave_days,drought_index,flood_events_count,forest_cover_percent,deforestation_rate,fossil_fuel_consumption,renewable_energy_share,air_quality_index,predicted_temperature_2050,climate_risk_index
2023,Australia,14.23,1.37,33.65,-4.82,397.35,888.98,2.91,18.62,35,1.77,4,17.56,0.97,82.8,38.32,59,2.83,43.44
2003,India,15.11,0.93,34.47,4.09,423.99,1193.13,2.6,15.11,22,4.46,11,24.09,1.91,34.03,25.18,92,2.03,21.02
1994,Australia,16.1,1.42,43.52,10.76,417.07,1168.58,4.88,15.8,35,2.51,4,30.47,3.3,41.54,17.32,88,2.62,87.53
2011,UK,14.32,1.59,46.95,1.44,452.06,563.86,2.64,17.22,39,3.23,11,21.73,2.05,40.01,41.72,128,1.87,48.8
2011,USA,14.59,1.15,36.89,-1.09,389.19,990.39,3.57,15.02,38,1.05,6,19.01,3.24,41.32,55.22,121,2.54,22.5
2003,France,14.73,0.63,34.5,6.74,411.19,1267.08,3.41,14.95,25,2.09,0,13.49,1.44,66.76,29.03,40,2.08,4.12
2020,UK,15.59,0.9,27.02,7.48,398.98,1317.25,1.74,16.71,24,4.31,11,62.39,2.25,86.79,21.68,100,2.96,67.57
1991,Germany,14.45,1.78,31.2,2.66,416.12,1111.27,3.73,17.8,16,1.06,1,27.34,3.14,43.06,19.89,169,2.04,21.46
2018,Germany,14.0,1.07,34.37,3.6,428.33,930.01,3.61,18.0,14,1.95,10,27.42,2.1,48.54,6.3,133,1.93,98.96
1981,Australia,13.74,-0.23,31.42,6.06,398.7,1126.4,3.93,16.64,36,1.59,10,22.37,2.19,73.98,33.62,56,2.94,53.37
1982,Brazil,14.47,0.51,31.95,4.38,405.9,1242.33,3.69,15.49,44,0.76,5,38.52,2.54,50.26,59.35,196,1.91,28.9
2016,China,14.23,0.93,42.88,9.0,439.15,1034.75,6.06,16.91,3,1.45,1,40.85,3.1,84.82,49.84,156,2.31,65.77
1996,Brazil,15.71,1.51,35.14,14.75,448.93,1068.58,4.89,17.35,21,1.16,3,22.5,0.4,55.23,54.36,145,1.92,27.52
1981,Canada,15.56,0.99,35.59,-1.84,427.34,925.06,3.55,16.89,16,4.62,9,46.51,1.25,44.34,39.16,171,2.66,82.03
1981,Brazil,13.88,1.52,31.63,9.92,411.55,598.96,3.66,18.35,21,3.71,5,53.38,1.45,88.01,31.48,124,2.85,30.82
2007,Canada,14.07,0.89,40.89,5.42,409.17,947.69,5.62,14.98,16,1.58,12,32.43,3.19,49.8,59.48,82,1.86,98.82
2002,Canada,14.54,0.31,33.94,10.55,428.7,796.87,4.54,15.45,13,3.82,11,45.13,3.35,36.18,29.59,115,2.47,60.51
2016,France,15.34,0.9,32.4,7.9,420.69,797.82,2.03,18.14,13,0.11,6,40.14,0.51,32.44,55.43,179,2.52,84.44
2011,USA,14.53,1.24,27.1,5.24,373.78,1430.15,4.64,14.29,16,2.63,9,21.73,0.5,89.66,46.9,89,2.26,7.28
2012,France,14.11,1.2,34.69,8.04,429.31,1285.47,4.99,15.69,7,1.25,4,53.8,3.28,72.71,23.2,100,2.96,34.83
1980,Canada,14.46,0.6,32.24,3.42,393.49,491.95,5.44,15.4,33,0.57,7,58.09,1.11,48.61,32.67,143,2.96,73.75
1998,UK,14.12,0.96,43.42,1.9,379.58,674.54,3.02,14.15,25,4.42,5,48.93,0.92,77.85,26.14,90,1.77,65.51
1981,Germany,14.86,2.17,44.22,8.24,373.29,890.93,2.93,16.22,44,1.0,4,29.43,0.22,58.28,12.49,116,2.8,19.42
2023,Canada,14.07,0.61,28.82,1.62,409.6,807.81,2.37,17.62,29,4.11,3,65.61,1.04,42.22,24.62,137,2.45,35.62
2005,France,14.19,1.36,29.39,7.57,389.59,1095.23,3.87,16.73,21,2.07,5,37.32,2.46,72.04,53.89,122,2.32,26.34
2011,UK,15.2,0.26,33.62,5.12,356.84,626.92,4.38,17.7,15,0.07,5,25.95,1.55,72.21,46.39,117,2.08,61.34
1985,France,14.04,1.45,30.92,-4.32,406.04,1287.56,2.88,18.29,29,3.66,5,34.49,1.86,55.01,20.27,44,1.46,34.46
2011,Brazil,13.63,0.74,36.09,2.7,402.74,986.8,3.33,15.92,15,2.98,0,51.52,3.22,23.16,25.24,195,2.34,30.91
1983,India,14.56,1.26,33.37,6.34,411.25,897.85,1.04,20.47,37,1.72,5,60.76,0.49,25.39,38.9,177,2.35,20.74
1990,Australia,14.28,0.58,36.4,3.38,399.28,995.7,5.31,15.98,53,1.41,0,31.39,0.34,75.21,27.89,127,3.2,40.9
1996,China,14.81,1.22,40.08,-5.19,460.73,874.75,1.62,16.18,23,0.37,4,23.96,3.0,77.64,32.67,56,1.86,19.55
2017,France,14.69,0.74,29.68,10.28,427.93,390.81,3.95,15.44,35,4.71,6,47.59,2.73,67.48,43.4,104,1.4,96.26
2003,China,14.48,0.81,39.98,5.68,402.51,1003.58,3.79,17.32,34,2.47,0,65.27,1.0,78.73,30.7,163,1.61,15.45
1984,Pakistan,14.46,1.28,31.36,6.77,413.41,903.78,3.55,16.06,5,0.43,12,21.0,1.2,70.36,15.5,60,3.0,91.33
2013,France,14.06,0.93,45.74,3.11,450.37,713.66,3.58,16.38,3,4.34,0,58.18,1.15,82.79,33.63,150,1.98,42.85
1985,India,14.55,1.25,43.1,7.13,438.92,1329.23,2.29,16.19,17,1.39,12,38.6,2.3,30.53,24.59,146,2.88,37.79
2001,China,15.03,1.02,34.43,12.34,380.09,1200.83,3.11,16.16,5,1.02,12,57.97,0.31,47.14,20.99,61,2.2,23.13
1990,Canada,13.92,1.13,30.18,2.06,390.64,1731.66,4.66,16.74,25,1.4,14,40.33,1.76,52.49,23.05,108,1.71,63.58
1995,France,14.5,1.28,29.23,11.67,395.45,1250.45,5.02,15.82,36,2.82,5,32.64,0.56,40.84,29.15,75,3.2,68.55
2012,USA,15.12,0.96,39.37,6.59,404.01,806.97,2.99,15.9,26,0.37,14,51.8,2.89,70.78,53.76,188,2.86,46.76
1988,Australia,14.8,0.7,34.85,1.52,400.11,728.26,1.63,18.11,40,2.41,6,64.04,1.39,83.87,45.37,112,2.11,5.57
1985,India,15.29,0.89,39.63,13.85,415.85,851.71,2.57,16.06,10,4.48,5,29.22,1.89,48.87,41.73,130,2.7,91.85
1995,China,14.16,1.58,46.02,6.57,433.39,800.01,5.72,17.08,37,0.94,4,37.64,0.2,85.91,30.92,165,2.26,98.03
2008,India,13.4,1.15,31.15,7.71,437.57,1032.64,2.64,15.17,15,1.66,5,23.76,0.3,56.17,5.1,185,2.42,43.1
1982,UK,14.62,0.76,28.85,3.92,406.83,538.36,3.38,15.83,18,1.98,12,21.0,2.4,56.58,23.73,138,3.08,61.37
1999,Australia,14.72,1.26,35.96,1.81,374.13,1194.19,5.2,14.65,42,2.93,13,56.67,2.71,62.02,49.73,54,1.44,45.03
2015,Canada,15.32,1.29,40.72,5.67,388.99,1027.36,2.87,19.28,52,4.6,2,22.04,2.51,38.78,26.35,83,2.02,32.19
1998,France,15.21,1.31,30.3,11.33,402.01,1159.74,3.3,18.56,14,1.97,8,57.6,2.61,46.84,36.01,136,2.21,7.73
2005,France,14.82,0.71,35.17,3.76,383.87,656.76,4.45,17.39,25,0.35,14,35.75,0.46,58.73,16.26,75,2.37,45.61
1982,France,14.96,0.83,41.85,4.89,443.52,1074.01,5.55,19.73,55,1.74,4,69.7,2.46,85.94,55.37,69,1.58,81.84
1998,Australia,14.38,0.83,26.84,10.83,385.51,1389.75,2.73,17.66,40,0.95,1,21.84,0.72,64.99,55.77,65,2.66,1.7
1999,USA,13.77,0.96,36.18,3.8,430.43,741.85,5.17,16.24,55,3.26,13,15.58,0.43,43.32,13.03,124,1.62,58.21
2011,Pakistan,14.57,1.32,32.3,7.04,372.95,733.64,3.16,17.06,30,0.15,13,14.53,2.67,20.73,44.83,140,1.58,88.08
1986,Germany,15.09,1.22,35.62,8.51,431.43,1213.59,2.44,18.54,18,1.46,11,60.13,3.12,88.72,9.14,160,2.07,21.75
2020,Brazil,14.89,1.25,38.55,4.21,411.52,709.28,3.8,15.18,56,2.73,9,36.27,2.54,54.51,37.92,70,3.15,18.33
2012,China,15.0,1.64,36.1,6.24,452.81,930.01,2.11,14.74,50,1.39,9,10.19,2.84,85.69,14.83,56,3.47,77.23
2019,USA,14.24,1.38,29.95,7.64,386.71,1442.72,4.07,17.11,23,2.75,6,62.49,3.47,58.45,13.01,137,2.44,25.51
2018,Canada,14.34,1.04,32.49,3.4,400.9,737.9,7.28,15.62,57,0.57,2,62.62,0.56,62.38,5.23,165,2.08,19.2
1997,China,14.79,0.63,42.13,8.26,405.74,1463.33,4.83,13.11,8,4.71,0,58.39,3.38,69.83,56.75,63,2.28,37.8
2019,France,14.17,0.81,36.64,2.81,411.19,899.27,3.37,14.64,22,1.45,2,24.9,2.14,42.47,50.61,161,2.37,39.25
1980,India,14.19,1.0,39.2,2.3,406.35,663.64,4.76,16.03,3,4.62,8,32.37,2.87,68.93,9.26,171,2.93,87.41
1990,Canada,14.68,1.43,36.25,-1.11,406.83,1181.11,2.38,16.57,9,1.63,4,54.7,2.31,56.88,37.97,176,1.59,61.84
2007,China,14.96,1.09,39.05,2.99,406.42,1032.32,2.58,16.62,8,3.91,6,39.36,2.04,67.07,17.81,169,2.8,40.6
2004,France,14.38,0.84,33.02,1.74,363.22,1003.95,3.41,19.51,18,1.23,2,19.23,2.49,78.51,19.52,162,1.49,53.44
2002,China,13.8,0.81,31.16,3.4,439.83,769.38,3.61,16.19,14,3.35,3,24.57,1.19,32.9,53.08,77,1.96,95.4
2010,India,14.06,1.07,38.82,7.45,486.53,1030.14,1.95,16.92,50,1.62,0,68.36,3.24,62.95,11.29,182,2.2,11.32
2009,France,14.62,1.46,40.64,-1.9,422.46,379.71,3.13,14.06,33,2.55,2,19.06,0.49,23.65,38.08,170,2.41,20.77
2021,Pakistan,14.61,1.74,30.43,-2.9,386.61,1065.63,3.33,16.45,41,3.37,6,53.56,1.18,27.15,27.07,198,2.2,96.25
2014,USA,14.64,1.02,32.12,2.0,389.14,1389.17,5.35,17.0,18,2.94,3,38.68,0.21,67.22,15.49,96,2.29,95.73
1986,UK,14.81,1.08,34.18,6.84,430.33,470.37,1.95,14.44,48,2.88,14,54.92,1.02,24.97,29.86,81,2.22,17.72
1995,Brazil,14.5,0.61,43.1,6.16,424.64,877.97,1.84,15.1,51,0.33,1,49.67,0.84,61.68,56.73,92,1.44,14.51
2005,Australia,14.66,1.88,37.82,1.94,407.89,737.61,3.71,17.23,55,1.25,13,36.35,0.27,35.4,47.99,158,2.49,42.11
1981,Brazil,14.47,0.54,28.38,9.68,433.84,546.68,4.88,15.68,20,2.86,4,31.23,1.77,41.29,12.27,160,2.61,4.97
1980,Canada,15.19,1.57,34.54,2.37,363.4,384.14,4.16,16.35,33,0.09,14,55.26,1.69,29.07,51.72,95,2.87,65.49
1991,Brazil,15.36,0.95,33.77,6.85,433.85,645.75,3.86,17.31,50,1.25,4,29.39,0.36,37.41,56.56,126,3.12,7.75
1984,France,13.79,0.86,29.13,3.55,420.94,927.29,3.15,19.56,16,1.15,14,57.27,0.99,77.49,20.23,115,2.41,5.8
2016,Pakistan,14.35,0.66,34.48,1.52,390.1,1344.74,4.31,16.17,17,1.25,1,50.79,3.34,64.72,23.34,124,2.91,48.52
2011,UK,14.52,2.06,33.55,2.58,379.17,543.19,4.49,19.15,16,2.68,14,44.66,0.48,86.48,11.95,124,2.21,95.78
1988,USA,14.34,1.19,33.19,7.94,418.03,1088.32,3.19,13.56,1,2.91,14,32.13,1.14,23.41,23.97,199,1.47,42.68
2020,USA,15.58,1.11,32.96,6.44,450.18,1065.89,2.36,16.72,50,4.54,10,22.3,0.22,75.47,42.02,120,2.68,35.65
2014,India,14.63,1.45,42.36,8.87,409.3,1501.59,2.37,16.0,0,1.93,5,52.63,0.61,68.94,19.97,47,2.57,99.8
1998,Australia,14.02,0.84,33.18,6.44,393.68,1171.31,4.55,15.7,42,4.63,9,15.48,2.48,38.26,5.38,50,2.2,53.2
1995,China,14.86,1.1,35.25,-1.44,419.78,1188.58,1.65,17.49,56,3.26,3,68.23,1.35,71.04,23.62,177,2.17,37.52
1982,Pakistan,14.66,1.12,34.71,13.46,460.52,1209.79,5.51,16.18,9,4.56,13,68.72,1.64,70.16,29.92,154,2.44,38.59
1999,China,14.68,0.9,32.47,6.5,425.78,722.73,2.95,13.46,36,4.17,0,17.81,0.63,52.15,36.15,120,2.03,19.5
2003,UK,15.58,1.58,35.4,7.06,428.49,828.15,3.87,14.12,47,3.44,2,16.24,2.42,68.2,42.61,126,2.42,51.22
2012,Brazil,14.71,1.01,35.33,3.49,445.57,1335.06,4.34,17.58,55,1.78,13,34.76,2.66,51.12,8.4,81,1.74,43.89
2003,USA,14.32,0.48,35.4,9.45,426.81,384.76,2.68,14.04,4,1.21,8,67.82,0.72,43.49,30.84,76,1.8,27.08
1990,UK,13.33,0.98,30.7,0.63,395.48,795.31,2.95,17.62,55,1.11,9,34.02,0.25,52.65,19.65,131,1.54,16.05
1987,Brazil,14.4,1.2,33.97,7.44,371.39,600.76,3.66,16.69,54,4.76,6,31.83,0.38,82.66,57.14,124,3.32,31.12
2015,USA,15.28,0.74,38.8,-3.32,391.96,1070.27,2.48,16.24,11,4.79,12,52.22,2.33,46.92,24.79,98,2.24,50.87
2017,Brazil,14.45,0.77,34.1,7.71,387.38,873.52,2.22,16.38,35,3.62,5,20.72,0.56,48.26,10.51,191,2.8,5.83
2019,Australia,13.16,0.88,35.81,0.68,431.48,1187.79,2.33,17.27,30,4.42,13,31.8,1.78,62.59,7.28,195,1.65,15.37
1999,Pakistan,14.2,1.59,35.84,6.11,434.96,967.3,4.95,14.73,54,4.59,0,27.48,0.62,72.71,19.6,76,2.11,94.77
2014,Canada,15.1,0.91,37.09,10.43,419.39,536.17,3.98,16.56,37,2.56,8,46.09,0.68,71.42,14.84,60,2.48,54.29
2004,UK,14.83,1.67,37.79,8.29,383.28,550.04,2.55,14.79,50,3.15,12,19.77,0.11,21.39,40.74,169,2.94,6.34
2014,UK,14.0,0.85,34.13,9.9,459.66,998.19,4.55,16.75,8,2.09,8,42.92,1.19,68.12,51.58,122,1.9,69.31
2004,Germany,14.16,1.23,30.44,9.48,404.59,768.66,2.61,17.47,43,2.09,0,61.45,0.41,51.54,22.19,195,2.0,6.18
2008,France,14.25,0.92,28.91,2.9,430.09,840.21,1.16,16.75,25,0.19,13,40.85,1.44,56.69,36.78,182,1.8,73.89
1997,Australia,14.1,1.4,40.09,7.39,416.23,1281.52,4.34,17.41,14,2.17,12,51.01,2.13,59.32,45.17,40,2.14,75.0
2025,Australia,13.28,0.65,38.85,-1.9,420.22,1227.71,5.48,15.45,15,3.37,12,14.51,1.35,71.22,26.92,146,1.69,65.11
1997,China,14.96,1.4,38.25,2.25,429.2,1539.32,4.17,16.41,12,2.11,14,36.94,2.5,78.19,8.65,67,1.48,73.22
1981,Brazil,15.25,1.15,39.06,10.57,397.6,905.1,1.24,16.14,24,4.36,5,15.69,2.62,65.24,17.61,89,2.33,8.8
2014,France,13.59,0.84,34.19,3.46,447.64,807.66,3.47,16.04,29,1.66,6,45.97,2.47,59.47,53.57,74,2.54,72.68
1995,Pakistan,15.25,1.03,31.88,-2.47,375.51,1125.46,3.17,15.3,52,0.66,1,26.86,3.28,46.16,50.35,195,1.63,13.67
2020,Pakistan,14.44,1.71,30.1,13.05,389.04,831.76,3.95,15.85,55,4.06,9,27.24,0.91,29.65,9.76,176,1.86,33.95
2015,Australia,15.24,1.16,29.55,7.25,447.31,841.58,2.48,14.83,6,3.37,7,14.61,0.74,87.1,17.32,191,2.15,94.27
2012,Pakistan,14.52,0.82,41.06,8.06,429.75,939.37,3.1,13.96,56,1.21,7,28.61,2.17,52.33,47.3,171,3.05,50.29
1983,Germany,14.58,0.62,32.53,1.08,478.51,1495.82,1.8,15.45,54,2.68,5,40.4,2.12,59.63,31.72,80,0.78,96.74
2012,UK,14.72,1.3,40.27,6.14,416.71,1211.19,3.77,17.44,51,2.01,8,45.08,1.83,72.58,46.8,106,2.42,8.89
1993,India,14.03,1.18,34.07,6.03,457.51,1242.65,1.84,16.85,3,4.69,2,14.0,0.11,24.79,16.61,87,2.54,47.76
2000,Canada,15.22,1.38,31.62,1.71,368.56,1482.36,4.02,14.62,42,3.04,1,49.09,1.99,79.85,57.4,125,1.84,6.24
1999,China,13.83,0.52,29.53,4.32,379.66,1270.76,2.6,15.89,39,0.79,1,39.33,3.27,75.79,48.1,97,2.03,63.02
1987,Brazil,14.26,0.63,32.06,-1.0,437.39,660.58,-0.27,17.54,37,2.51,5,42.21,1.24,74.21,15.86,78,2.37,7.87
1986,Canada,14.81,1.56,42.09,3.61,371.49,1266.21,4.45,15.83,56,4.31,6,59.97,3.39,21.54,35.71,64,2.19,17.54
1982,Brazil,14.19,1.23,29.58,8.9,410.07,1304.28,4.09,14.37,29,3.36,5,30.53,1.31,56.86,11.22,99,3.05,25.88
1996,USA,14.97,1.31,45.58,2.01,444.18,1195.56,5.12,19.89,9,4.21,10,20.44,0.58,23.8,24.88,156,2.25,74.87
2012,Canada,15.33,0.71,30.8,12.63,427.53,941.37,0.99,16.25,29,1.25,2,43.11,1.45,58.56,41.28,125,2.63,16.4
1991,India,15.11,0.71,38.75,-0.74,415.28,1163.9,2.71,14.75,38,4.44,4,66.7,1.78,70.29,23.16,153,2.43,84.66
2001,Australia,13.34,1.5,34.27,3.96,403.77,993.93,3.66,16.76,6,3.78,7,41.07,2.24,28.53,41.12,123,2.55,13.19
2001,Germany,14.58,1.52,33.4,2.37,420.06,706.57,4.19,16.37,35,3.64,5,59.91,1.82,68.64,18.46,194,1.81,3.52
2025,UK,15.12,0.66,28.64,4.28,429.43,781.11,1.74,14.19,34,1.73,1,55.42,1.92,51.47,44.67,163,2.3,39.5
2009,UK,13.71,0.59,34.51,10.49,398.48,1211.12,4.02,16.64,23,4.44,14,41.1,0.18,76.81,24.78,150,2.17,97.94
2017,Germany,14.93,1.06,29.21,1.06,424.29,728.25,2.81,17.98,38,3.19,6,48.85,0.96,57.35,48.48,81,1.84,11.03
2017,France,14.9,0.78,26.59,3.19,441.96,756.53,1.27,16.15,35,4.26,7,34.4,1.16,43.53,12.52,91,2.66,10.17
2024,USA,13.77,0.77,35.6,7.62,409.44,1226.02,2.6,13.41,44,1.8,3,41.84,3.46,43.24,24.91,87,1.19,75.12
1987,Brazil,15.0,0.6,31.82,5.37,416.7,1040.14,4.12,17.01,19,0.73,11,40.44,1.1,82.82,30.52,71,2.87,31.22
2006,India,14.66,0.91,43.42,5.7,427.09,1173.16,1.32,17.4,48,1.66,0,52.55,3.15,51.7,28.31,191,1.09,71.73
2006,Pakistan,14.89,0.64,40.0,1.14,428.78,631.29,4.26,15.62,31,2.28,1,34.6,1.14,48.4,28.82,170,2.12,20.0
2013,Canada,13.92,0.66,43.49,4.71,436.96,1164.83,3.84,15.63,58,2.67,3,15.99,0.43,22.79,29.46,157,2.67,46.01
2000,USA,14.59,1.22,31.6,9.53,389.64,801.99,3.2,19.89,38,2.55,6,57.32,0.94,45.5,59.38,194,1.61,26.53
2009,Canada,13.48,1.08,35.68,-1.44,401.78,694.93,1.54,15.51,48,2.73,1,51.09,1.03,79.47,15.62,62,2.41,45.15
2012,India,13.13,1.29,21.9,2.21,402.7,848.4,1.63,14.82,25,4.21,5,67.01,3.43,73.27,47.28,174,2.36,76.91
2007,China,14.58,0.44,33.59,-2.26,392.4,1408.62,3.02,16.54,25,0.85,1,35.72,2.39,35.46,35.35,166,2.36,76.2
2012,China,15.16,1.1,35.49,7.15,370.04,890.66,2.15,17.36,35,1.58,11,14.69,3.27,48.91,27.75,76,2.03,51.58
1984,USA,14.65,1.93,35.77,9.9,333.64,1660.42,3.1,17.3,42,4.44,6,17.3,2.94,33.76,39.84,46,1.97,92.84
1998,Australia,14.46,0.95,34.79,4.27,444.89,381.35,4.59,12.8,34,2.8,1,56.4,2.07,86.8,51.94,116,1.41,26.38
1983,India,14.39,1.43,35.33,0.98,376.15,536.12,3.17,15.51,42,2.92,2,14.07,2.4,61.87,30.67,121,2.15,24.03
2014,India,13.93,1.43,21.43,1.1,454.16,1397.26,3.14,18.23,34,2.39,8,64.47,2.22,72.8,52.56,134,2.66,61.38
1996,Germany,14.37,1.45,36.28,3.81,433.49,1472.68,3.14,16.99,11,2.74,12,26.9,2.37,69.97,10.16,61,1.97,62.13
2023,Australia,14.75,1.17,37.42,3.8,404.86,740.96,4.72,14.65,32,0.99,14,63.93,1.0,81.16,40.92,117,2.0,4.65
2007,Brazil,14.24,1.33,41.69,8.65,430.41,1020.67,5.05,18.36,35,2.73,3,56.41,1.49,86.45,23.32,121,2.99,60.78
2009,Brazil,14.95,1.38,36.84,2.32,425.63,1213.66,4.01,17.95,13,4.99,13,62.27,2.11,22.27,26.27,184,2.12,37.44
2008,Pakistan,14.62,1.35,34.35,6.74,387.46,931.19,3.66,16.06,32,2.83,4,22.84,0.22,88.27,36.41,58,2.38,74.74
2025,UK,14.69,0.65,40.52,3.78,414.63,1044.96,3.78,17.82,45,0.22,8,45.74,1.74,80.94,31.4,134,2.47,80.81
1985,China,15.03,0.42,23.21,2.02,390.5,1003.28,5.21,19.5,44,3.98,6,15.62,3.02,46.81,26.0,78,2.12,55.22
2014,Brazil,14.18,0.48,32.43,3.68,431.35,555.57,4.07,14.92,44,1.98,7,22.14,1.77,78.59,21.96,156,2.54,0.17
2020,Australia,14.9,0.99,31.17,6.35,397.12,896.6,5.33,17.33,23,0.77,14,28.59,1.98,71.56,39.01,75,2.69,63.64
2016,India,14.27,1.34,34.83,8.66,412.58,1003.71,3.0,19.48,14,4.31,10,54.45,0.79,75.52,32.81,54,2.65,74.89
2003,Brazil,14.7,0.66,24.01,3.99,411.51,1030.94,1.9,17.48,30,0.99,2,11.48,2.8,35.45,22.78,196,2.71,24.9
2008,India,14.11,1.47,41.6,0.18,418.04,480.85,2.7,15.37,16,4.6,10,64.19,1.32,65.4,16.27,99,1.16,46.46
2025,Brazil,13.95,0.9,33.75,9.0,456.56,1226.11,2.82,16.86,11,2.21,10,14.25,3.35,21.81,47.6,183,1.61,96.57
2010,China,14.56,0.9,36.59,1.41,408.98,1038.85,5.43,18.55,21,3.71,3,32.59,3.48,79.38,48.98,128,1.94,29.81
2014,Canada,13.37,0.77,36.12,6.04,445.45,683.38,4.38,14.98,22,2.73,6,14.87,3.21,86.57,16.76,55,1.8,22.32
2012,Brazil,14.32,0.35,41.31,4.9,427.0,1539.72,2.74,16.45,25,1.28,3,56.14,0.39,66.35,19.39,197,1.84,21.09
2000,Australia,13.54,1.19,25.69,4.37,450.46,896.02,4.47,16.13,13,3.36,1,18.48,1.23,55.89,18.15,137,2.64,55.88
2011,Brazil,14.97,1.79,35.56,3.05,406.54,915.51,3.34,15.55,11,4.79,13,63.09,3.31,70.8,53.65,143,2.25,94.98
2002,UK,15.13,1.07,40.73,7.48,432.4,1192.51,5.46,16.86,49,3.85,9,41.81,2.84,42.85,47.58,83,2.13,60.87
2012,China,13.98,0.36,34.51,-9.33,413.52,1565.2,3.1,16.35,3,3.02,5,66.91,3.2,63.85,9.1,90,2.09,30.33
1982,Australia,14.76,1.41,30.24,9.55,340.27,1204.31,1.65,17.47,58,4.95,8,27.42,2.05,70.33,50.8,57,2.0,63.86
1997,Germany,15.04,0.45,31.98,1.35,387.75,1247.83,3.28,18.21,45,1.33,1,37.26,1.73,29.99,7.03,44,2.08,62.48
2004,Australia,15.04,0.62,33.04,6.63,429.56,699.51,3.1,14.59,50,0.31,0,51.65,0.46,29.8,18.93,45,2.89,59.69
2021,UK,14.63,1.0,31.39,6.42,427.91,1026.09,1.89,16.6,12,0.16,7,59.91,2.95,70.13,55.54,115,1.32,15.94
2010,Canada,14.94,1.15,34.24,10.1,382.63,840.32,4.2,16.42,56,3.55,0,35.28,2.63,50.22,52.54,154,2.84,63.46
1982,China,14.11,0.7,42.54,5.79,420.51,1211.24,5.21,16.81,54,4.15,0,63.55,0.3,82.24,47.98,51,3.35,43.02
2019,Germany,14.55,0.99,32.01,1.68,427.58,1239.09,2.15,16.48,17,3.18,2,17.08,0.81,41.84,30.17,51,2.83,1.86
2025,UK,14.22,1.39,32.56,-1.42,414.13,1489.97,4.67,15.03,42,4.53,4,52.52,1.99,22.97,22.68,112,1.71,53.98
2003,UK,14.06,1.44,37.3,3.6,433.22,352.5,2.77,18.68,27,3.49,12,30.89,2.43,65.49,53.49,145,1.96,98.93
2011,USA,14.52,1.6,34.13,-2.83,429.81,810.83,3.47,19.32,37,1.85,11,16.08,0.57,67.9,41.14,189,2.72,34.97
2001,China,14.71,1.86,28.35,2.49,414.12,1390.07,3.34,17.32,40,0.91,8,33.2,0.93,58.75,21.25,88,2.08,96.56
2002,Australia,15.2,1.42,34.69,3.83,402.23,579.54,3.47,17.4,43,4.62,10,62.81,0.76,67.83,30.48,43,1.95,9.62
1981,India,14.66,1.01,34.51,2.24,441.06,1241.7,4.07,16.7,18,0.52,9,68.83,0.85,56.66,53.48,42,2.15,73.25
2006,Canada,14.89,1.44,39.88,5.17,426.58,1340.2,2.27,17.95,45,2.71,1,33.57,3.23,68.48,54.69,183,1.64,11.43
2021,India,14.89,1.29,30.14,4.06,380.46,991.5,5.05,12.84,46,1.57,11,63.18,2.53,23.08,41.26,53,2.13,27.36
1981,Australia,16.11,1.3,39.91,3.69,420.52,573.56,4.1,16.49,42,1.36,11,40.58,2.61,45.79,45.29,103,1.6,57.08
2005,Australia,13.41,1.17,34.51,-4.7,386.22,963.54,4.5,15.64,37,3.23,0,53.02,2.8,34.76,7.16,159,2.56,59.28
1996,China,14.09,0.74,29.46,-0.18,390.89,1437.6,2.56,16.72,45,1.16,0,12.72,1.31,26.95,38.25,107,1.78,77.52
2019,Australia,15.38,0.69,28.46,7.57,398.7,1461.71,2.16,18.14,2,4.58,7,43.44,2.71,36.39,42.89,98,2.23,61.53
2012,USA,14.29,1.06,44.67,8.22,416.12,1062.36,4.92,16.53,18,2.03,9,14.21,3.43,33.39,6.12,169,1.98,59.36
1988,Germany,15.03,1.16,34.2,-2.36,424.36,706.83,2.11,15.96,19,3.39,9,26.12,2.47,88.12,51.41,158,2.39,91.24
2022,Australia,14.64,0.83,39.68,1.74,404.78,1521.52,3.68,14.4,24,3.64,9,44.01,1.52,40.06,56.06,49,2.61,45.22
2018,India,15.76,1.27,26.46,9.29,405.87,1246.28,4.72,16.34,10,3.41,1,58.43,2.54,36.17,18.09,114,2.34,22.53
2008,Australia,13.83,1.93,48.19,2.13,402.42,726.55,3.35,17.51,55,4.52,12,43.65,3.16,78.44,51.52,129,1.85,16.18
2021,USA,15.23,0.4,39.47,4.55,441.19,1102.76,4.9,15.24,16,1.16,8,66.17,0.54,49.34,41.6,140,1.92,40.0
2005,Brazil,15.55,1.33,33.72,10.77,343.68,1089.02,3.17,13.49,59,0.43,8,58.62,1.0,49.5,36.94,193,3.38,71.28
2014,Brazil,13.89,1.07,33.47,3.55,407.28,808.96,1.97,19.91,58,0.28,1,19.37,3.23,51.05,51.37,171,2.67,4.25
2004,UK,14.97,1.28,38.67,2.98,453.62,1104.43,3.95,17.0,48,4.39,2,33.34,3.32,49.16,20.71,67,2.1,12.91
2003,Canada,13.92,0.93,38.39,4.37,427.93,1331.86,3.74,16.17,54,4.87,1,50.11,1.75,42.86,48.5,169,1.91,10.61
1992,Pakistan,14.52,1.04,35.91,12.41,446.67,911.13,6.73,18.59,34,1.51,5,66.3,1.37,40.04,22.3,105,1.48,58.53
